Date,Area Type,Area Name,Age,Economic Activity,Employment Status,Employment Type,Gender,Value
Apr 2020-Mar 2021,Local Authority,Islington,All aged 16 & over,Active ,In employment ,Employees , Males ,53300
Apr 2020-Mar 2021,Local Authority,Kensington and Chelsea,All aged 16 & over,Active ,In employment ,Employees , Males ,23900
Apr 2020-Mar 2021,Local Authority,Kingston upon Thames,All aged 16 & over,Active ,In employment ,Employees , Males ,45900
Apr 2020-Mar 2021,Local Authority,Lambeth,All aged 16 & over,Active ,In employment ,Employees , Males ,89600
Apr 2020-Mar 2021,Local Authority,Lewisham,All aged 16 & over,Active ,In employment ,Employees , Males ,76900
Apr 2020-Mar 2021,Local Authority,Merton,All aged 16 & over,Active ,In employment ,Employees , Males ,50400
Apr 2020-Mar 2021,Local Authority,Newham,All aged 16 & over,Active ,In employment ,Employees , Males ,95000
Apr 2020-Mar 2021,Local Authority,Redbridge,All aged 16 & over,Active ,In employment ,Employees , Males ,58200
Apr 2020-Mar 2021,Local Authority,Richmond upon Thames,All aged 16 & over,Active ,In employment ,Employees , Males ,41600
Apr 2020-Mar 2021,Local Authority,Southwark,All aged 16 & over,Active ,In employment ,Employees , Males ,67900
Apr 2020-Mar 2021,Local Authority,Sutton,All aged 16 & over,Active ,In employment ,Employees , Males ,38000
Apr 2020-Mar 2021,Local Authority,Tower Hamlets,All aged 16 & over,Active ,In employment ,Employees , Males ,90900
Apr 2020-Mar 2021,Local Authority,Waltham Forest,All aged 16 & over,Active ,In employment ,Employees , Males ,62900
Apr 2020-Mar 2021,Local Authority,Wandsworth,All aged 16 & over,Active ,In employment ,Employees , Males ,80900
Apr 2020-Mar 2021,Local Authority,Westminster,All aged 16 & over,Active ,In employment ,Employees , Males ,55100
Apr 2020-Mar 2021,Region,London,All aged 16 & over,Active ,In employment ,Employees , Males ,2016200
Apr 2020-Mar 2021,Local Authority,Barking and Dagenham,All aged 16 & over,Active ,In employment ,Employees , Females ,37600
Apr 2020-Mar 2021,Local Authority,Barnet,All aged 16 & over,Active ,In employment ,Employees , Females ,77000
Apr 2020-Mar 2021,Local Authority,Bexley,All aged 16 & over,Active ,In employment ,Employees , Females ,57600
Apr 2020-Mar 2021,Local Authority,Brent,All aged 16 & over,Active ,In employment ,Employees , Females ,63800
Apr 2020-Mar 2021,Local Authority,Bromley,All aged 16 & over,Active ,In employment ,Employees , Females ,71300
Apr 2020-Mar 2021,Local Authority,Camden,All aged 16 & over,Active ,In employment ,Employees , Females ,49900
Apr 2020-Mar 2021,Local Authority,City of London,All aged 16 & over,Active ,In employment ,Employees , Females ,!
Apr 2020-Mar 2021,Local Authority,Croydon,All aged 16 & over,Active ,In employment ,Employees , Females ,84300
Apr 2020-Mar 2021,Local Authority,Ealing,All aged 16 & over,Active ,In employment ,Employees , Females ,66300
Apr 2020-Mar 2021,Local Authority,Enfield,All aged 16 & over,Active ,In employment ,Employees , Females ,70800
Apr 2020-Mar 2021,Local Authority,Greenwich,All aged 16 & over,Active ,In employment ,Employees , Females ,66000
Apr 2020-Mar 2021,Local Authority,Hackney,All aged 16 & over,Active ,In employment ,Employees , Females ,72400
Apr 2020-Mar 2021,Local Authority,Hammersmith and Fulham,All aged 16 & over,Active ,In employment ,Employees , Females ,37000
Apr 2020-Mar 2021,Local Authority,Haringey,All aged 16 & over,Active ,In employment ,Employees , Females ,61600
Apr 2020-Mar 2021,Local Authority,Harrow,All aged 16 & over,Active ,In employment ,Employees , Females ,43900
Apr 2020-Mar 2021,Local Authority,Havering,All aged 16 & over,Active ,In employment ,Employees , Females ,56600
Apr 2020-Mar 2021,Local Authority,Hillingdon,All aged 16 & over,Active ,In employment ,Employees , Females ,65100
Apr 2020-Mar 2021,Local Authority,Hounslow,All aged 16 & over,Active ,In employment ,Employees , Females ,61100
Apr 2020-Mar 2021,Local Authority,Islington,All aged 16 & over,Active ,In employment ,Employees , Females ,57600
Apr 2020-Mar 2021,Local Authority,Kensington and Chelsea,All aged 16 & over,Active ,In employment ,Employees , Females ,31100
Apr 2020-Mar 2021,Local Authority,Kingston upon Thames,All aged 16 & over,Active ,In employment ,Employees , Females ,34100
Apr 2020-Mar 2021,Local Authority,Lambeth,All aged 16 & over,Active ,In employment ,Employees , Females ,81000
Apr 2020-Mar 2021,Local Authority,Lewisham,All aged 16 & over,Active ,In employment ,Employees , Females ,75900
Apr 2020-Mar 2021,Local Authority,Merton,All aged 16 & over,Active ,In employment ,Employees , Females ,45400
Apr 2020-Mar 2021,Local Authority,Newham,All aged 16 & over,Active ,In employment ,Employees , Females ,73900
Apr 2020-Mar 2021,Local Authority,Redbridge,All aged 16 & over,Active ,In employment ,Employees , Females ,68500
Apr 2020-Mar 2021,Local Authority,Richmond upon Thames,All aged 16 & over,Active ,In employment ,Employees , Females ,39000
Apr 2020-Mar 2021,Local Authority,Southwark,All aged 16 & over,Active ,In employment ,Employees , Females ,90500
Apr 2020-Mar 2021,Local Authority,Sutton,All aged 16 & over,Active ,In employment ,Employees , Females ,44600
Apr 2020-Mar 2021,Local Authority,Tower Hamlets,All aged 16 & over,Active ,In employment ,Employees , Females ,71000
Apr 2020-Mar 2021,Local Authority,Waltham Forest,All aged 16 & over,Active ,In employment ,Employees , Females ,51400
Apr 2020-Mar 2021,Local Authority,Wandsworth,All aged 16 & over,Active ,In employment ,Employees , Females ,84600
Apr 2020-Mar 2021,Local Authority,Westminster,All aged 16 & over,Active ,In employment ,Employees , Females ,47500
Apr 2020-Mar 2021,Region,London,All aged 16 & over,Active ,In employment ,Employees , Females ,1942000
Apr 2020-Mar 2021,Local Authority,Barking and Dagenham,All aged 16 & over,Active ,In employment ,Self Employed , Males ,8400
Apr 2020-Mar 2021,Local Authority,Barnet,All aged 16 & over,Active ,In employment ,Self Employed , Males ,24700
Apr 2020-Mar 2021,Local Authority,Bexley,All aged 16 & over,Active ,In employment ,Self Employed , Males ,10900
Apr 2020-Mar 2021,Local Authority,Brent,All aged 16 & over,Active ,In employment ,Self Employed , Males ,21000
Apr 2020-Mar 2021,Local Authority,Bromley,All aged 16 & over,Active ,In employment ,Self Employed , Males ,11500
Apr 2020-Mar 2021,Local Authority,Camden,All aged 16 & over,Active ,In employment ,Self Employed , Males ,18200
Apr 2020-Mar 2021,Local Authority,City of London,All aged 16 & over,Active ,In employment ,Self Employed , Males ,!
Apr 2020-Mar 2021,Local Authority,Croydon,All aged 16 & over,Active ,In employment ,Self Employed , Males ,13800
Apr 2020-Mar 2021,Local Authority,Ealing,All aged 16 & over,Active ,In employment ,Self Employed , Males ,23200
Apr 2020-Mar 2021,Local Authority,Enfield,All aged 16 & over,Active ,In employment ,Self Employed , Males ,8900
Apr 2020-Mar 2021,Local Authority,Greenwich,All aged 16 & over,Active ,In employment ,Self Employed , Males ,12700
Apr 2020-Mar 2021,Local Authority,Hackney,All aged 16 & over,Active ,In employment ,Self Employed , Males ,9600
Apr 2020-Mar 2021,Local Authority,Hammersmith and Fulham,All aged 16 & over,Active ,In employment ,Self Employed , Males ,13000
Apr 2020-Mar 2021,Local Authority,Haringey,All aged 16 & over,Active ,In employment ,Self Employed , Males ,18600
Apr 2020-Mar 2021,Local Authority,Harrow,All aged 16 & over,Active ,In employment ,Self Employed , Males ,16800
Apr 2020-Mar 2021,Local Authority,Havering,All aged 16 & over,Active ,In employment ,Self Employed , Males ,13600
Apr 2020-Mar 2021,Local Authority,Hillingdon,All aged 16 & over,Active ,In employment ,Self Employed , Males ,15800
Apr 2020-Mar 2021,Local Authority,Hounslow,All aged 16 & over,Active ,In employment ,Self Employed , Males ,7000
Apr 2020-Mar 2021,Local Authority,Islington,All aged 16 & over,Active ,In employment ,Self Employed , Males ,10100
Apr 2020-Mar 2021,Local Authority,Kensington and Chelsea,All aged 16 & over,Active ,In employment ,Self Employed , Males ,11400
Apr 2020-Mar 2021,Local Authority,Kingston upon Thames,All aged 16 & over,Active ,In employment ,Self Employed , Males ,11600
Apr 2020-Mar 2021,Local Authority,Lambeth,All aged 16 & over,Active ,In employment ,Self Employed , Males ,15800
Apr 2020-Mar 2021,Local Authority,Lewisham,All aged 16 & over,Active ,In employment ,Self Employed , Males ,16300
Apr 2020-Mar 2021,Local Authority,Merton,All aged 16 & over,Active ,In employment ,Self Employed , Males ,10100
Apr 2020-Mar 2021,Local Authority,Newham,All aged 16 & over,Active ,In employment ,Self Employed , Males ,22700
Apr 2020-Mar 2021,Local Authority,Redbridge,All aged 16 & over,Active ,In employment ,Self Employed , Males ,18700
Apr 2020-Mar 2021,Local Authority,Richmond upon Thames,All aged 16 & over,Active ,In employment ,Self Employed , Males ,12900
Apr 2020-Mar 2021,Local Authority,Southwark,All aged 16 & over,Active ,In employment ,Self Employed , Males ,12500
Apr 2020-Mar 2021,Local Authority,Sutton,All aged 16 & over,Active ,In employment ,Self Employed , Males ,16100
Apr 2020-Mar 2021,Local Authority,Tower Hamlets,All aged 16 & over,Active ,In employment ,Self Employed , Males ,11100
Apr 2020-Mar 2021,Local Authority,Waltham Forest,All aged 16 & over,Active ,In employment ,Self Employed , Males ,15600
Apr 2020-Mar 2021,Local Authority,Wandsworth,All aged 16 & over,Active ,In employment ,Self Employed , Males ,14500
Apr 2020-Mar 2021,Local Authority,Westminster,All aged 16 & over,Active ,In employment ,Self Employed , Males ,13100
Apr 2020-Mar 2021,Region,London,All aged 16 & over,Active ,In employment ,Self Employed , Males ,461600
Apr 2020-Mar 2021,Local Authority,Barking and Dagenham,All aged 16 & over,Active ,In employment ,Self Employed , Females ,5800
Apr 2020-Mar 2021,Local Authority,Barnet,All aged 16 & over,Active ,In employment ,Self Employed , Females ,11300
Apr 2020-Mar 2021,Local Authority,Bexley,All aged 16 & over,Active ,In employment ,Self Employed , Females ,5700
Apr 2020-Mar 2021,Local Authority,Brent,All aged 16 & over,Active ,In employment ,Self Employed , Females ,11400
Apr 2020-Mar 2021,Local Authority,Bromley,All aged 16 & over,Active ,In employment ,Self Employed , Females ,13100
Apr 2020-Mar 2021,Local Authority,Camden,All aged 16 & over,Active ,In employment ,Self Employed , Females ,15200
Apr 2020-Mar 2021,Local Authority,City of London,All aged 16 & over,Active ,In employment ,Self Employed , Females ,!
Apr 2020-Mar 2021,Local Authority,Croydon,All aged 16 & over,Active ,In employment ,Self Employed , Females ,11400
Apr 2020-Mar 2021,Local Authority,Ealing,All aged 16 & over,Active ,In employment ,Self Employed , Females ,10900
Apr 2020-Mar 2021,Local Authority,Enfield,All aged 16 & over,Active ,In employment ,Self Employed , Females ,8700
Apr 2020-Mar 2021,Local Authority,Greenwich,All aged 16 & over,Active ,In employment ,Self Employed , Females ,8200
Apr 2020-Mar 2021,Local Authority,Hackney,All aged 16 & over,Active ,In employment ,Self Employed , Females ,8500
Apr 2020-Mar 2021,Local Authority,Hammersmith and Fulham,All aged 16 & over,Active ,In employment ,Self Employed , Females ,2600
Apr 2020-Mar 2021,Local Authority,Haringey,All aged 16 & over,Active ,In employment ,Self Employed , Females ,10500
Apr 2020-Mar 2021,Local Authority,Harrow,All aged 16 & over,Active ,In employment ,Self Employed , Females ,4300
Apr 2020-Mar 2021,Local Authority,Havering,All aged 16 & over,Active ,In employment ,Self Employed , Females ,2800
Apr 2020-Mar 2021,Local Authority,Hillingdon,All aged 16 & over,Active ,In employment ,Self Employed , Females ,5500
Apr 2020-Mar 2021,Local Authority,Hounslow,All aged 16 & over,Active ,In employment ,Self Employed , Females ,5200
Apr 2020-Mar 2021,Local Authority,Islington,All aged 16 & over,Active ,In employment ,Self Employed , Females ,10200
Apr 2020-Mar 2021,Local Authority,Kensington and Chelsea,All aged 16 & over,Active ,In employment ,Self Employed , Females ,10400
Apr 2020-Mar 2021,Local Authority,Kingston upon Thames,All aged 16 & over,Active ,In employment ,Self Employed , Females ,6100
Apr 2020-Mar 2021,Local Authority,Lambeth,All aged 16 & over,Active ,In employment ,Self Employed , Females ,12800
Apr 2020-Mar 2021,Local Authority,Lewisham,All aged 16 & over,Active ,In employment ,Self Employed , Females ,10600
Apr 2020-Mar 2021,Local Authority,Merton,All aged 16 & over,Active ,In employment ,Self Employed , Females ,7300
Apr 2020-Mar 2021,Local Authority,Newham,All aged 16 & over,Active ,In employment ,Self Employed , Females ,7700
Apr 2020-Mar 2021,Local Authority,Redbridge,All aged 16 & over,Active ,In employment ,Self Employed , Females ,6300
Apr 2020-Mar 2021,Local Authority,Richmond upon Thames,All aged 16 & over,Active ,In employment ,Self Employed , Females ,8100
Apr 2020-Mar 2021,Local Authority,Southwark,All aged 16 & over,Active ,In employment ,Self Employed , Females ,9800
Apr 2020-Mar 2021,Local Authority,Sutton,All aged 16 & over,Active ,In employment ,Self Employed , Females ,5400
Apr 2020-Mar 2021,Local Authority,Tower Hamlets,All aged 16 & over,Active ,In employment ,Self Employed , Females ,5900
Apr 2020-Mar 2021,Local Authority,Waltham Forest,All aged 16 & over,Active ,In employment ,Self Employed , Females ,6800
Apr 2020-Mar 2021,Local Authority,Wandsworth,All aged 16 & over,Active ,In employment ,Self Employed , Females ,17500
Apr 2020-Mar 2021,Local Authority,Westminster,All aged 16 & over,Active ,In employment ,Self Employed , Females ,7900
Apr 2020-Mar 2021,Region,London,All aged 16 & over,Active ,In employment ,Self Employed , Females ,276300
Apr 2020-Mar 2021,Local Authority,Barking and Dagenham,All aged 16 & over,Active ,In employment ,Unemployed , Males ,5100
Apr 2020-Mar 2021,Local Authority,Barnet,All aged 16 & over,Active ,In employment ,Unemployed , Males ,!
Apr 2020-Mar 2021,Local Authority,Bexley,All aged 16 & over,Active ,In employment ,Unemployed , Males ,4000
Apr 2020-Mar 2021,Local Authority,Brent,All aged 16 & over,Active ,In employment ,Unemployed , Males ,5300
Apr 2020-Mar 2021,Local Authority,Bromley,All aged 16 & over,Active ,In employment ,Unemployed , Males ,3200
Apr 2020-Mar 2021,Local Authority,Camden,All aged 16 & over,Active ,In employment ,Unemployed , Males ,5000
Apr 2020-Mar 2021,Local Authority,City of London,All aged 16 & over,Active ,In employment ,Unemployed , Males ,!
Apr 2020-Mar 2021,Local Authority,Croydon,All aged 16 & over,Active ,In employment ,Unemployed , Males ,9900
Apr 2020-Mar 2021,Local Authority,Ealing,All aged 16 & over,Active ,In employment ,Unemployed , Males ,4900
Apr 2020-Mar 2021,Local Authority,Enfield,All aged 16 & over,Active ,In employment ,Unemployed , Males ,5200
Apr 2020-Mar 2021,Local Authority,Greenwich,All aged 16 & over,Active ,In employment ,Unemployed , Males ,5700
Apr 2020-Mar 2021,Local Authority,Hackney,All aged 16 & over,Active ,In employment ,Unemployed , Males ,5400
Apr 2020-Mar 2021,Local Authority,Hammersmith and Fulham,All aged 16 & over,Active ,In employment ,Unemployed , Males ,3000
Apr 2020-Mar 2021,Local Authority,Haringey,All aged 16 & over,Active ,In employment ,Unemployed , Males ,5300
Apr 2020-Mar 2021,Local Authority,Harrow,All aged 16 & over,Active ,In employment ,Unemployed , Males ,5500
Apr 2020-Mar 2021,Local Authority,Havering,All aged 16 & over,Active ,In employment ,Unemployed , Males ,3500
Apr 2020-Mar 2021,Local Authority,Hillingdon,All aged 16 & over,Active ,In employment ,Unemployed , Males ,7300
Apr 2020-Mar 2021,Local Authority,Hounslow,All aged 16 & over,Active ,In employment ,Unemployed , Males ,3700
Apr 2020-Mar 2021,Local Authority,Islington,All aged 16 & over,Active ,In employment ,Unemployed , Males ,6400
Apr 2020-Mar 2021,Local Authority,Kensington and Chelsea,All aged 16 & over,Active ,In employment ,Unemployed , Males ,1700
Apr 2020-Mar 2021,Local Authority,Kingston upon Thames,All aged 16 & over,Active ,In employment ,Unemployed , Males ,2200
Apr 2020-Mar 2021,Local Authority,Lambeth,All aged 16 & over,Active ,In employment ,Unemployed , Males ,8900
Apr 2020-Mar 2021,Local Authority,Lewisham,All aged 16 & over,Active ,In employment ,Unemployed , Males ,6500
Apr 2020-Mar 2021,Local Authority,Merton,All aged 16 & over,Active ,In employment ,Unemployed , Males ,2000
Apr 2020-Mar 2021,Local Authority,Newham,All aged 16 & over,Active ,In employment ,Unemployed , Males ,7900
Apr 2020-Mar 2021,Local Authority,Redbridge,All aged 16 & over,Active ,In employment ,Unemployed , Males ,2200
Apr 2020-Mar 2021,Local Authority,Richmond upon Thames,All aged 16 & over,Active ,In employment ,Unemployed , Males ,800
Apr 2020-Mar 2021,Local Authority,Southwark,All aged 16 & over,Active ,In employment ,Unemployed , Males ,11600
Apr 2020-Mar 2021,Local Authority,Sutton,All aged 16 & over,Active ,In employment ,Unemployed , Males ,3600
Apr 2020-Mar 2021,Local Authority,Tower Hamlets,All aged 16 & over,Active ,In employment ,Unemployed , Males ,5400
Apr 2020-Mar 2021,Local Authority,Waltham Forest,All aged 16 & over,Active ,In employment ,Unemployed , Males ,11200
Apr 2020-Mar 2021,Local Authority,Wandsworth,All aged 16 & over,Active ,In employment ,Unemployed , Males ,6400
Apr 2020-Mar 2021,Local Authority,Westminster,All aged 16 & over,Active ,In employment ,Unemployed , Males ,4600
Apr 2020-Mar 2021,Region,London,All aged 16 & over,Active ,In employment ,Unemployed , Males ,165400
Apr 2020-Mar 2021,Local Authority,Barking and Dagenham,All aged 16 & over,Active ,In employment ,Unemployed , Females ,3900
Apr 2020-Mar 2021,Local Authority,Barnet,All aged 16 & over,Active ,In employment ,Unemployed , Females ,9500
Apr 2020-Mar 2021,Local Authority,Bexley,All aged 16 & over,Active ,In employment ,Unemployed , Females ,4200
Apr 2020-Mar 2021,Local Authority,Brent,All aged 16 & over,Active ,In employment ,Unemployed , Females ,2500
Apr 2020-Mar 2021,Local Authority,Bromley,All aged 16 & over,Active ,In employment ,Unemployed , Females ,2400
Apr 2020-Mar 2021,Local Authority,Camden,All aged 16 & over,Active ,In employment ,Unemployed , Females ,!
Apr 2020-Mar 2021,Local Authority,City of London,All aged 16 & over,Active ,In employment ,Unemployed , Females ,!
Apr 2020-Mar 2021,Local Authority,Croydon,All aged 16 & over,Active ,In employment ,Unemployed , Females ,5700
Apr 2020-Mar 2021,Local Authority,Ealing,All aged 16 & over,Active ,In employment ,Unemployed , Females ,3500
Apr 2020-Mar 2021,Local Authority,Enfield,All aged 16 & over,Active ,In employment ,Unemployed , Females ,3900
Apr 2020-Mar 2021,Local Authority,Greenwich,All aged 16 & over,Active ,In employment ,Unemployed , Females ,4700
Apr 2020-Mar 2021,Local Authority,Hackney,All aged 16 & over,Active ,In employment ,Unemployed , Females ,4100
Apr 2020-Mar 2021,Local Authority,Hammersmith and Fulham,All aged 16 & over,Active ,In employment ,Unemployed , Females ,5100
Apr 2020-Mar 2021,Local Authority,Haringey,All aged 16 & over,Active ,In employment ,Unemployed , Females ,4600
Apr 2020-Mar 2021,Local Authority,Harrow,All aged 16 & over,Active ,In employment ,Unemployed , Females ,5600
Apr 2020-Mar 2021,Local Authority,Havering,All aged 16 & over,Active ,In employment ,Unemployed , Females ,2000
Apr 2020-Mar 2021,Local Authority,Hillingdon,All aged 16 & over,Active ,In employment ,Unemployed , Females ,10200
Apr 2020-Mar 2021,Local Authority,Hounslow,All aged 16 & over,Active ,In employment ,Unemployed , Females ,4000
Apr 2020-Mar 2021,Local Authority,Islington,All aged 16 & over,Active ,In employment ,Unemployed , Females ,1600
Apr 2020-Mar 2021,Local Authority,Kensington and Chelsea,All aged 16 & over,Active ,In employment ,Unemployed , Females ,2300
Apr 2020-Mar 2021,Local Authority,Kingston upon Thames,All aged 16 & over,Active ,In employment ,Unemployed , Females ,1900
Apr 2020-Mar 2021,Local Authority,Lambeth,All aged 16 & over,Active ,In employment ,Unemployed , Females ,6500
Apr 2020-Mar 2021,Local Authority,Lewisham,All aged 16 & over,Active ,In employment ,Unemployed , Females ,4200
Apr 2020-Mar 2021,Local Authority,Merton,All aged 16 & over,Active ,In employment ,Unemployed , Females ,4400
Apr 2020-Mar 2021,Local Authority,Newham,All aged 16 & over,Active ,In employment ,Unemployed , Females ,4800
Apr 2020-Mar 2021,Local Authority,Redbridge,All aged 16 & over,Active ,In employment ,Unemployed , Females ,4700
Apr 2020-Mar 2021,Local Authority,Richmond upon Thames,All aged 16 & over,Active ,In employment ,Unemployed , Females ,2500
Apr 2020-Mar 2021,Local Authority,Southwark,All aged 16 & over,Active ,In employment ,Unemployed , Females ,5900
Apr 2020-Mar 2021,Local Authority,Sutton,All aged 16 & over,Active ,In employment ,Unemployed , Females ,3300
Apr 2020-Mar 2021,Local Authority,Tower Hamlets,All aged 16 & over,Active ,In employment ,Unemployed , Females ,4900
Apr 2020-Mar 2021,Local Authority,Waltham Forest,All aged 16 & over,Active ,In employment ,Unemployed , Females ,5800
Apr 2020-Mar 2021,Local Authority,Wandsworth,All aged 16 & over,Active ,In employment ,Unemployed , Females ,2700
Apr 2020-Mar 2021,Local Authority,Westminster,All aged 16 & over,Active ,In employment ,Unemployed , Females ,9100
Apr 2020-Mar 2021,Region,London,All aged 16 & over,Active ,In employment ,Unemployed , Females ,141600
Apr 2020-Mar 2021,Local Authority,Barking and Dagenham,All aged 16 & over,Inactive ,,, Males ,22700
Apr 2020-Mar 2021,Local Authority,Barnet,All aged 16 & over,Inactive ,,, Males ,43800
Apr 2020-Mar 2021,Local Authority,Bexley,All aged 16 & over,Inactive ,,, Males ,30700
Apr 2020-Mar 2021,Local Authority,Brent,All aged 16 & over,Inactive ,,, Males ,39900
Apr 2020-Mar 2021,Local Authority,Bromley,All aged 16 & over,Inactive ,,, Males ,40600
Apr 2020-Mar 2021,Local Authority,Camden,All aged 16 & over,Inactive ,,, Males ,35300
Apr 2020-Mar 2021,Local Authority,City of London,All aged 16 & over,Inactive ,,, Males ,!
Apr 2020-Mar 2021,Local Authority,Croydon,All aged 16 & over,Inactive ,,, Males ,42100
Apr 2020-Mar 2021,Local Authority,Ealing,All aged 16 & over,Inactive ,,, Males ,30900
Apr 2020-Mar 2021,Local Authority,Enfield,All aged 16 & over,Inactive ,,, Males ,39300
Apr 2020-Mar 2021,Local Authority,Greenwich,All aged 16 & over,Inactive ,,, Males ,23700
Apr 2020-Mar 2021,Local Authority,Hackney,All aged 16 & over,Inactive ,,, Males ,27300
Apr 2020-Mar 2021,Local Authority,Hammersmith and Fulham,All aged 16 & over,Inactive ,,, Males ,10600
Apr 2020-Mar 2021,Local Authority,Haringey,All aged 16 & over,Inactive ,,, Males ,27500
Apr 2020-Mar 2021,Local Authority,Harrow,All aged 16 & over,Inactive ,,, Males ,31800
Apr 2020-Mar 2021,Local Authority,Havering,All aged 16 & over,Inactive ,,, Males ,30300
Apr 2020-Mar 2021,Local Authority,Hillingdon,All aged 16 & over,Inactive ,,, Males ,25700
Apr 2020-Mar 2021,Local Authority,Hounslow,All aged 16 & over,Inactive ,,, Males ,28500
Apr 2020-Mar 2021,Local Authority,Islington,All aged 16 & over,Inactive ,,, Males ,32900
Apr 2020-Mar 2021,Local Authority,Kensington and Chelsea,All aged 16 & over,Inactive ,,, Males ,22900
Apr 2020-Mar 2021,Local Authority,Kingston upon Thames,All aged 16 & over,Inactive ,,, Males ,17800
Apr 2020-Mar 2021,Local Authority,Lambeth,All aged 16 & over,Inactive ,,, Males ,20700
Apr 2020-Mar 2021,Local Authority,Lewisham,All aged 16 & over,Inactive ,,, Males ,27900
Apr 2020-Mar 2021,Local Authority,Merton,All aged 16 & over,Inactive ,,, Males ,13100
Apr 2020-Mar 2021,Local Authority,Newham,All aged 16 & over,Inactive ,,, Males ,36300
Apr 2020-Mar 2021,Local Authority,Redbridge,All aged 16 & over,Inactive ,,, Males ,37900
Apr 2020-Mar 2021,Local Authority,Richmond upon Thames,All aged 16 & over,Inactive ,,, Males ,16200
Apr 2020-Mar 2021,Local Authority,Southwark,All aged 16 & over,Inactive ,,, Males ,23800
Apr 2020-Mar 2021,Local Authority,Sutton,All aged 16 & over,Inactive ,,, Males ,21200
Apr 2020-Mar 2021,Local Authority,Tower Hamlets,All aged 16 & over,Inactive ,,, Males ,30900
Apr 2020-Mar 2021,Local Authority,Waltham Forest,All aged 16 & over,Inactive ,,, Males ,29000
Apr 2020-Mar 2021,Local Authority,Wandsworth,All aged 16 & over,Inactive ,,, Males ,29700
Apr 2020-Mar 2021,Local Authority,Westminster,All aged 16 & over,Inactive ,,, Males ,24700
Apr 2020-Mar 2021,Region,London,All aged 16 & over,Inactive ,,, Males ,916700
Apr 2020-Mar 2021,Local Authority,Barking and Dagenham,All aged 16 & over,Inactive ,,, Females ,41100
Apr 2020-Mar 2021,Local Authority,Barnet,All aged 16 & over,Inactive ,,, Females ,55000
Apr 2020-Mar 2021,Local Authority,Bexley,All aged 16 & over,Inactive ,,, Females ,36900
Apr 2020-Mar 2021,Local Authority,Brent,All aged 16 & over,Inactive ,,, Females ,59000
Apr 2020-Mar 2021,Local Authority,Bromley,All aged 16 & over,Inactive ,,, Females ,48400
Apr 2020-Mar 2021,Local Authority,Camden,All aged 16 & over,Inactive ,,, Females ,44800
Apr 2020-Mar 2021,Local Authority,City of London,All aged 16 & over,Inactive ,,, Females ,3500
Apr 2020-Mar 2021,Local Authority,Croydon,All aged 16 & over,Inactive ,,, Females ,53600
Apr 2020-Mar 2021,Local Authority,Ealing,All aged 16 & over,Inactive ,,, Females ,46400
Apr 2020-Mar 2021,Local Authority,Enfield,All aged 16 & over,Inactive ,,, Females ,59200
Apr 2020-Mar 2021,Local Authority,Greenwich,All aged 16 & over,Inactive ,,, Females ,40600
Apr 2020-Mar 2021,Local Authority,Hackney,All aged 16 & over,Inactive ,,, Females ,32900
Apr 2020-Mar 2021,Local Authority,Hammersmith and Fulham,All aged 16 & over,Inactive ,,, Females ,19200
Apr 2020-Mar 2021,Local Authority,Haringey,All aged 16 & over,Inactive ,,, Females ,34000
Apr 2020-Mar 2021,Local Authority,Harrow,All aged 16 & over,Inactive ,,, Females ,46500
