
"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Total"
"Age        :","All categories: Age 16+"
"measure    :","Claimant count"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"
"July 2023",66855,193345,137960,101610,180000,115100,293980,161655,85575,61110,111930,36620
"August 2023",66145,191300,136635,100065,177570,113590,291805,160875,85020,60445,109505,36795
"September 2023",64680,189225,134825,99940,176710,113830,295780,161450,84865,59985,105030,37650
"October 2023",64115,188890,135140,100250,176420,114315,296780,162235,85600,60270,103805,37095
"November 2023",64470,190735,137455,99910,176525,116075,295990,163505,88210,61770,105470,35775
"December 2023",64315,190695,139505,100410,176980,117035,297870,165150,89190,61365,105460,35485
"January 2024",64565,191595,140865,101680,177615,118440,298085,166975,91070,61600,104885,34590
"February 2024",65895,196410,143480,105115,182115,121930,306900,172200,94560,63430,107495,35825
"March 2024",66115,200135,145915,106445,184340,122470,306840,172200,94620,63720,109140,36395
"April 2024",65455,199495,145950,105925,182130,121140,303840,170210,93240,63110,107045,36475
"May 2024",65485,200970,147005,106525,184575,121050,310260,170540,92715,63355,106575,36235
"June 2024",65925,203635,149750,107835,194135,123840,318815,172520,93100,64290,108540,37765
"July 2024",71225,219955,161455,116050,209865,134575,354275,184925,99935,68760,115510,41090
"August 2024",71515,221295,162950,116565,213625,136205,356725,186900,100150,68610,117185,42665



"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Total"
"Age        :","All categories: Age 16+"
"measure    :","Claimants as a proportion of residents aged 16-64"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",7.1,6.7,6.4,5.2,7.0,5.1,8.0,5.0,4.7,5.7,5.9,4.7
"February 2021",7.3,7.0,6.6,5.4,7.3,5.4,8.4,5.2,5.0,6.0,6.1,4.9
"March 2021",7.3,7.0,6.6,5.4,7.3,5.4,8.4,5.2,4.9,5.9,6.1,4.8
"April 2021",7.1,6.8,6.5,5.3,7.2,5.3,8.3,5.1,4.8,5.8,5.9,4.8
"May 2021",6.8,6.4,6.1,5.0,6.8,4.9,7.9,4.7,4.4,5.4,5.5,4.5
"June 2021",6.3,6.0,5.8,4.7,6.5,4.5,7.3,4.3,4.0,5.0,5.1,4.3
"July 2021",6.2,5.9,5.7,4.5,6.4,4.4,7.1,4.2,3.9,4.9,5.0,4.2
"August 2021",6.0,5.7,5.5,4.4,6.2,4.2,6.8,4.0,3.7,4.7,4.8,4.1
"September 2021",5.7,5.4,5.2,4.2,5.9,3.9,6.4,3.8,3.5,4.5,4.4,4.0
"October 2021",5.5,5.2,5.1,4.0,5.7,3.8,6.2,3.6,3.3,4.3,4.2,3.9
"November 2021",5.3,5.0,4.9,3.9,5.5,3.7,5.9,3.5,3.2,4.2,4.1,3.6
"December 2021",5.1,4.8,4.7,3.7,5.4,3.5,5.6,3.4,3.1,4.0,3.9,3.4
"January 2022",5.1,4.7,4.6,3.6,5.3,3.4,5.5,3.3,3.0,4.0,3.9,3.3
"February 2022",5.0,4.8,4.6,3.7,5.3,3.4,5.4,3.3,3.0,4.0,3.9,3.3
"March 2022",4.8,4.6,4.5,3.6,5.2,3.3,5.2,3.2,2.9,3.9,3.7,3.2
"April 2022",4.5,4.4,4.3,3.4,5.0,3.1,5.0,3.0,2.7,3.6,3.5,3.1
"May 2022",4.4,4.3,4.2,3.3,4.9,3.0,4.9,2.9,2.6,3.5,3.3,3.0
"June 2022",4.3,4.2,4.1,3.2,4.8,2.9,4.8,2.8,2.5,3.4,3.2,3.0
"July 2022",4.2,4.2,4.0,3.2,4.8,2.9,4.6,2.8,2.4,3.3,3.2,3.0
"August 2022",4.2,4.2,4.0,3.2,4.8,2.9,4.6,2.8,2.4,3.3,3.2,3.0
"September 2022",4.2,4.1,4.0,3.2,4.7,2.8,4.6,2.8,2.4,3.3,3.1,3.0
"October 2022",4.1,4.1,3.9,3.1,4.7,2.8,4.6,2.8,2.4,3.2,3.1,3.0
"November 2022",4.2,4.1,3.9,3.1,4.7,2.8,4.6,2.8,2.4,3.3,3.1,3.0
"December 2022",4.2,4.1,4.0,3.2,4.8,2.8,4.6,2.8,2.5,3.3,3.1,3.0
"January 2023",4.2,4.1,4.0,3.2,4.7,2.8,4.5,2.8,2.5,3.3,3.1,2.9
"February 2023",4.2,4.2,4.0,3.3,4.8,2.9,4.6,2.8,2.5,3.3,3.2,3.0
"March 2023",4.3,4.3,4.1,3.4,4.9,2.9,4.7,2.8,2.5,3.4,3.3,3.0
"April 2023",4.3,4.3,4.2,3.4,5.0,3.0,4.8,2.9,2.5,3.4,3.3,3.2
"May 2023",4.1,4.2,4.0,3.3,4.9,2.9,4.7,2.8,2.4,3.3,3.2,3.0
"June 2023",4.1,4.2,4.0,3.3,4.9,2.9,4.8,2.8,2.5,3.3,3.2,3.0
"July 2023",4.1,4.2,4.0,3.3,4.9,2.9,4.9,2.8,2.5,3.2,3.2,3.1
"August 2023",4.0,4.1,4.0,3.3,4.8,2.9,4.8,2.8,2.5,3.2,3.1,3.1
"September 2023",4.0,4.1,3.9,3.3,4.8,2.9,4.9,2.8,2.4,3.2,3.0,3.2
"October 2023",3.9,4.1,4.0,3.3,4.8,2.9,4.9,2.8,2.5,3.2,3.0,3.1
"November 2023",3.9,4.1,4.0,3.3,4.8,3.0,4.9,2.8,2.5,3.3,3.0,3.0
"December 2023",3.9,4.1,4.1,3.3,4.8,3.0,4.9,2.9,2.6,3.2,3.0,3.0
"January 2024",3.9,4.1,4.1,3.3,4.8,3.0,4.9,2.9,2.6,3.3,3.0,2.9
"February 2024",4.0,4.2,4.2,3.5,4.9,3.1,5.1,3.0,2.7,3.4,3.1,3.0
"March 2024",4.0,4.3,4.3,3.5,5.0,3.1,5.1,3.0,2.7,3.4,3.1,3.1
"April 2024",4.0,4.3,4.3,3.5,4.9,3.1,5.0,3.0,2.7,3.3,3.1,3.1
"May 2024",4.0,4.3,4.3,3.5,5.0,3.1,5.1,3.0,2.7,3.3,3.0,3.1
"June 2024",4.0,4.4,4.4,3.5,5.3,3.2,5.3,3.0,2.7,3.4,3.1,3.2
"July 2024",4.4,4.7,4.7,3.8,5.7,3.4,5.9,3.2,2.9,3.6,3.3,3.5
"August 2024",4.4,4.8,4.8,3.8,5.8,3.5,5.9,3.2,2.9,3.6,3.4,3.6



"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Total"
"Age        :","All categories: Age 16+"
"measure    :","Claimants as a proportion of economically active residents aged 16+"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",9.3,8.7,8.1,6.6,8.9,6.2,9.6,6.0,5.8,7.2,7.6,6.3
"February 2021",9.6,9.1,8.4,7.0,9.3,6.6,10.1,6.4,6.1,7.5,7.8,6.5
"March 2021",9.5,9.1,8.4,6.9,9.3,6.6,10.1,6.4,6.1,7.4,7.8,6.5
"April 2021",9.3,8.9,8.3,6.8,9.1,6.5,10.0,6.2,5.9,7.3,7.7,6.4
"May 2021",8.8,8.4,7.8,6.4,8.6,6.0,9.4,5.7,5.4,6.8,7.1,6.1
"June 2021",8.3,7.9,7.3,5.9,8.2,5.5,8.7,5.2,4.9,6.3,6.6,5.7
"July 2021",8.1,7.7,7.2,5.8,8.0,5.3,8.6,5.1,4.8,6.1,6.5,5.7
"August 2021",7.8,7.4,6.9,5.6,7.8,5.1,8.2,4.9,4.5,5.8,6.2,5.5
"September 2021",7.5,7.0,6.6,5.3,7.5,4.8,7.7,4.6,4.3,5.6,5.7,5.4
"October 2021",7.2,6.8,6.4,5.1,7.3,4.6,7.4,4.4,4.1,5.4,5.5,5.2
"November 2021",6.9,6.5,6.2,4.9,7.0,4.5,7.1,4.3,4.0,5.2,5.3,4.9
"December 2021",6.6,6.3,6.0,4.8,6.8,4.3,6.8,4.1,3.8,5.1,5.1,4.6
"January 2022",6.6,6.1,5.8,4.6,6.6,4.2,6.5,4.0,3.7,5.1,5.0,4.4
"February 2022",6.6,6.2,5.8,4.6,6.7,4.2,6.5,4.0,3.7,5.0,4.9,4.3
"March 2022",6.3,6.0,5.7,4.5,6.6,4.0,6.2,3.8,3.6,4.9,4.7,4.2
"April 2022",5.9,5.7,5.4,4.3,6.3,3.8,6.0,3.6,3.3,4.5,4.4,4.1
"May 2022",5.8,5.6,5.3,4.2,6.2,3.7,5.8,3.5,3.1,4.4,4.2,4.0
"June 2022",5.6,5.5,5.1,4.1,6.1,3.6,5.7,3.4,3.1,4.3,4.1,3.9
"July 2022",5.5,5.4,5.1,4.0,6.0,3.5,5.6,3.4,3.0,4.2,4.1,4.0
"August 2022",5.5,5.4,5.1,4.0,6.0,3.5,5.5,3.4,3.0,4.2,4.1,4.0
"September 2022",5.5,5.4,5.0,4.0,6.0,3.5,5.5,3.4,3.0,4.2,4.0,4.0
"October 2022",5.4,5.3,4.9,3.9,5.9,3.4,5.5,3.3,2.9,4.1,3.9,4.0
"November 2022",5.5,5.3,5.0,4.0,6.0,3.4,5.5,3.4,3.0,4.1,4.0,3.9
"December 2022",5.5,5.4,5.0,4.1,6.0,3.5,5.5,3.4,3.0,4.1,4.0,4.0
"January 2023",5.4,5.3,5.0,4.0,5.8,3.4,5.5,3.3,3.0,4.0,4.0,3.8
"February 2023",5.4,5.4,5.1,4.1,5.9,3.5,5.6,3.3,3.0,4.1,4.0,3.9
"March 2023",5.5,5.6,5.2,4.2,6.0,3.5,5.7,3.4,3.0,4.2,4.1,3.9
"April 2023",5.5,5.6,5.3,4.2,6.2,3.6,5.8,3.4,3.1,4.2,4.2,4.1
"May 2023",5.2,5.4,5.1,4.1,6.0,3.5,5.7,3.3,2.9,4.0,4.0,3.8
"June 2023",5.2,5.4,5.1,4.1,6.0,3.5,5.8,3.3,3.0,4.0,4.0,3.9
"July 2023",5.3,5.4,5.1,4.2,6.0,3.6,5.8,3.3,3.0,4.0,4.0,4.0
"August 2023",5.2,5.3,5.0,4.1,5.9,3.5,5.8,3.3,3.0,3.9,4.0,4.0
"September 2023",5.1,5.3,5.0,4.1,5.9,3.5,5.9,3.3,2.9,3.9,3.8,4.1
"October 2023",5.0,5.3,5.0,4.1,5.9,3.5,5.9,3.3,3.0,3.9,3.7,4.0
"November 2023",5.1,5.3,5.1,4.1,5.9,3.6,5.9,3.4,3.1,4.0,3.8,3.9
"December 2023",5.1,5.3,5.2,4.1,5.9,3.6,5.9,3.4,3.1,4.0,3.8,3.9
"January 2024",5.1,5.3,5.2,4.2,5.9,3.7,5.9,3.4,3.2,4.0,3.8,3.8
"February 2024",5.2,5.5,5.3,4.3,6.1,3.8,6.1,3.5,3.3,4.1,3.9,3.9
"March 2024",5.2,5.6,5.4,4.4,6.2,3.8,6.1,3.5,3.3,4.2,3.9,3.9
"April 2024",5.1,5.6,5.4,4.3,6.1,3.7,6.0,3.5,3.2,4.1,3.9,4.0
"May 2024",5.1,5.6,5.4,4.4,6.2,3.7,6.2,3.5,3.2,4.1,3.8,3.9
"June 2024",5.2,5.7,5.5,4.4,6.5,3.8,6.3,3.6,3.2,4.2,3.9,4.1
"July 2024",5.6,6.1,6.0,4.8,7.0,4.2,7.0,3.8,3.5,4.5,4.2,4.5
"August 2024",5.6,6.2,6.0,4.8,7.1,4.2,7.1,3.9,3.5,4.5,4.2,4.6



"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Total"
"Age        :","All categories: Age 16+"
"measure    :","Claimants as a proportion of the workforce"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",8.8,7.6,7.4,6.2,8.1,5.9,7.5,5.6,5.3,6.8,7.1,5.9
"February 2021",9.0,7.9,7.7,6.6,8.5,6.3,7.9,5.9,5.5,7.1,7.3,6.1
"March 2021",9.0,7.9,7.7,6.5,8.4,6.3,7.9,5.9,5.5,7.1,7.3,6.1
"April 2021",8.8,7.8,7.6,6.4,8.3,6.2,7.8,5.8,5.4,6.9,7.1,6.0
"May 2021",8.3,7.3,7.2,6.0,7.9,5.7,7.4,5.3,4.9,6.5,6.6,5.7
"June 2021",7.8,6.8,6.7,5.6,7.5,5.2,6.8,4.9,4.5,6.0,6.1,5.4
"July 2021",7.6,6.7,6.6,5.5,7.3,5.1,6.7,4.7,4.3,5.8,6.0,5.3
"August 2021",7.3,6.4,6.4,5.3,7.1,4.9,6.4,4.5,4.1,5.6,5.8,5.2
"September 2021",7.1,6.1,6.1,5.0,6.8,4.6,6.0,4.3,3.9,5.3,5.3,5.0
"October 2021",6.8,5.9,5.9,4.8,6.6,4.4,5.8,4.1,3.7,5.1,5.1,4.9
"November 2021",6.5,5.7,5.7,4.7,6.4,4.3,5.5,4.0,3.6,5.0,4.9,4.5
"December 2021",6.3,5.5,5.5,4.5,6.2,4.1,5.3,3.8,3.5,4.8,4.7,4.3
"January 2022",6.3,5.4,5.3,4.4,6.2,4.0,5.0,3.8,3.3,4.8,4.6,4.0
"February 2022",6.3,5.4,5.3,4.4,6.2,4.0,5.0,3.7,3.3,4.7,4.6,4.0
"March 2022",6.1,5.3,5.2,4.3,6.1,3.8,4.8,3.6,3.1,4.6,4.4,3.9
"April 2022",5.7,5.1,5.0,4.1,5.9,3.6,4.6,3.4,2.9,4.3,4.1,3.8
"May 2022",5.5,4.9,4.8,4.0,5.7,3.5,4.5,3.3,2.8,4.1,3.9,3.7
"June 2022",5.4,4.9,4.7,3.9,5.6,3.4,4.4,3.2,2.7,4.0,3.8,3.7
"July 2022",5.3,4.8,4.7,3.8,5.6,3.3,4.3,3.2,2.6,3.9,3.8,3.7
"August 2022",5.3,4.8,4.6,3.8,5.6,3.3,4.3,3.2,2.6,4.0,3.8,3.7
"September 2022",5.3,4.7,4.6,3.8,5.5,3.3,4.3,3.2,2.6,3.9,3.7,3.7
"October 2022",5.2,4.7,4.5,3.7,5.5,3.3,4.2,3.1,2.6,3.8,3.6,3.7
"November 2022",5.2,4.7,4.6,3.8,5.5,3.3,4.3,3.2,2.6,3.9,3.7,3.7
"December 2022",5.3,4.7,4.6,3.8,5.6,3.3,4.3,3.2,2.7,3.9,3.7,3.7
"January 2023",5.2,4.7,4.6,3.7,5.3,3.3,4.0,3.1,2.7,4.1,3.8,3.6
"February 2023",5.2,4.8,4.6,3.8,5.4,3.4,4.1,3.1,2.7,4.2,3.8,3.6
"March 2023",5.3,4.9,4.8,3.9,5.5,3.4,4.2,3.1,2.7,4.3,3.9,3.7
"April 2023",5.4,5.0,4.8,3.9,5.7,3.5,4.3,3.2,2.8,4.3,4.0,3.8
"May 2023",5.1,4.8,4.7,3.8,5.5,3.4,4.2,3.1,2.7,4.1,3.8,3.6
"June 2023",5.1,4.8,4.7,3.8,5.5,3.4,4.2,3.1,2.7,4.1,3.8,3.6
"July 2023",5.1,4.8,4.7,3.9,5.5,3.4,4.3,3.1,2.7,4.1,3.9,3.7
"August 2023",5.0,4.7,4.6,3.8,5.4,3.4,4.3,3.1,2.7,4.0,3.8,3.8
"September 2023",4.9,4.7,4.6,3.8,5.4,3.4,4.3,3.1,2.7,4.0,3.6,3.8
"October 2023",4.9,4.7,4.6,3.8,5.4,3.4,4.3,3.1,2.7,4.0,3.6,3.8
"November 2023",4.9,4.7,4.7,3.8,5.4,3.5,4.3,3.1,2.8,4.1,3.6,3.7
"December 2023",4.9,4.7,4.7,3.8,5.4,3.5,4.4,3.2,2.8,4.1,3.6,3.6
"January 2024",4.9,4.8,4.8,3.9,5.5,3.5,4.4,3.2,2.9,4.1,3.6,3.5
"February 2024",5.0,4.9,4.9,4.0,5.6,3.6,4.5,3.3,3.0,4.2,3.7,3.7
"March 2024",5.0,5.0,4.9,4.0,5.7,3.7,4.5,3.3,3.0,4.3,3.8,3.7
"April 2024",5.0,4.9,4.9,4.0,5.6,3.6,4.5,3.3,2.9,4.2,3.7,3.7
"May 2024",5.0,5.0,5.0,4.0,5.7,3.6,4.5,3.3,2.9,4.2,3.7,3.7
"June 2024",5.0,5.0,5.1,4.1,6.0,3.7,4.7,3.3,2.9,4.3,3.7,3.9
"July 2024",5.4,5.5,5.5,4.4,6.4,4.0,5.2,3.5,3.1,4.6,4.0,4.2
"August 2024",5.4,5.5,5.5,4.4,6.6,4.1,5.2,3.6,3.1,4.6,4.0,4.4



"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Total"
"Age        :","Age unknown (clerical claims)"
"measure    :","Claimant count"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",0,15,15,5,10,5,10,10,5,5,10,510
"February 2021",0,15,15,5,10,5,15,15,5,5,10,575
"March 2021",5,15,15,5,10,5,15,15,5,5,10,595
"April 2021",0,10,15,5,5,5,15,15,5,5,10,780
"May 2021",0,10,10,0,5,0,15,15,5,5,10,1000
"June 2021",0,10,10,0,5,0,10,10,5,5,10,1055
"July 2021",0,10,5,0,5,0,10,10,0,0,5,1075
"August 2021",0,5,10,0,5,0,10,10,0,0,5,1060
"September 2021",5,5,5,5,0,0,5,5,5,0,5,1020
"October 2021",0,5,5,5,0,0,5,5,5,0,0,1045
"November 2021",0,5,5,5,0,0,5,5,5,0,5,1030
"December 2021",0,10,5,5,5,0,5,0,5,0,5,980
"January 2022",5,10,5,5,5,0,5,0,5,0,5,975
"February 2022",0,5,5,5,5,0,5,0,0,0,5,980
"March 2022",0,5,5,5,5,0,5,5,0,0,5,970
"April 2022",0,5,5,5,5,0,5,5,0,0,5,950
"May 2022",0,5,5,5,5,0,5,0,0,0,5,955
"June 2022",0,5,5,5,5,0,0,5,0,0,5,925
"July 2022",0,0,5,5,0,0,0,0,0,0,5,910
"August 2022",0,5,5,0,5,0,0,0,0,0,0,915
"September 2022",0,5,5,0,5,0,0,0,0,0,0,915
"October 2022",0,0,5,0,0,0,0,5,0,0,0,915
"November 2022",0,0,5,0,0,0,0,5,0,0,0,900
"December 2022",5,0,0,5,5,0,0,5,0,0,5,915
"January 2023",5,5,0,0,0,0,0,0,0,0,5,895
"February 2023",0,5,0,0,0,0,0,0,0,0,5,885
"March 2023",0,0,0,5,5,5,0,0,0,0,5,845
"April 2023",0,0,0,0,5,5,5,0,0,0,5,890
"May 2023",0,0,0,0,5,0,5,0,0,0,5,885
"June 2023",0,0,5,0,5,0,5,5,0,0,5,885
"July 2023",0,0,5,0,0,0,5,0,0,0,5,870
"August 2023",0,0,5,0,5,0,5,0,0,0,5,855
"September 2023",0,0,5,0,0,0,5,0,0,0,0,835
"October 2023",0,5,5,5,0,0,0,0,0,0,0,815
"November 2023",0,0,0,5,0,5,0,0,0,0,0,835
"December 2023",0,5,5,5,0,5,0,0,0,0,0,810
"January 2024",0,5,5,5,0,0,0,0,0,0,0,805
"February 2024",0,0,5,5,0,0,0,0,0,0,0,795
"March 2024",0,0,5,5,0,5,0,5,0,0,0,720
"April 2024",0,0,5,5,5,5,5,5,0,0,0,740
"May 2024",0,0,5,5,5,5,5,5,0,0,0,715
"June 2024",0,0,5,5,5,5,5,5,0,0,5,700
"July 2024",0,0,5,5,5,5,5,5,0,0,5,695
"August 2024",0,0,5,0,0,5,5,5,0,0,5,685



"","Commencing in May 2024, the Department for Work and Pensions are rolling out"
"","an increase in the administrative earnings threshold for full work search"
"","conditionality. This change is likely to affect around 180,000 claimants"
"","over"
"","a period of around 6 months, increasing the Claimant Count over that time."
"",""

"","Under Universal Credit a broader span of claimants are required to look for"
"","work than under Jobseeker's Allowance. Therefore, as Universal Credit has been"
"","rolled out, the number of people recorded as being on the Claimant Count rose."
"",""

"","This dataset only includes claimant records with information to sufficiently"
"","classify them within the dataset. Totals from this dataset may not tally with"
"","the total number of claim records shown elsewhere as a small number of records"
"","do not have this information."
"",""

"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","the number of people claiming JSA, published on Nomis, and the number of"
"","people claiming Universal Credit required to seek work, published by DWP, due to"
"","independent rounding."
"",""

"","Rates for regions and countries from 2021 onwards are calculated using"
"","the mid-2021 resident population aged 16-64"







"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 12 September 2024]"
"Analysis   :","standard"
"Gender     :","Total"
"Age        :","Age unknown (clerical claims)"
"measure    :","Claimants as a proportion of residents aged 16-64"

"Date","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","Northern Ireland"

"January 2021",-,-,-,-,-,-,-,-,-,-,-,-
"February 2021",-,-,-,-,-,-,-,-,-,-,-,-
"March 2021",-,-,-,-,-,-,-,-,-,-,-,-
"April 2021",-,-,-,-,-,-,-,-,-,-,-,-
"May 2021",-,-,-,-,-,-,-,-,-,-,-,-
"June 2021",-,-,-,-,-,-,-,-,-,-,-,-
"July 2021",-,-,-,-,-,-,-,-,-,-,-,-
"August 2021",-,-,-,-,-,-,-,-,-,-,-,-
"September 2021",-,-,-,-,-,-,-,-,-,-,-,-
